iter	Passed	Remaining
0	160	160178
1	177	88696
2	191	63628
3	207	51638
4	239	47742
5	270	44857
6	300	42584
7	321	39898
8	338	37258
9	352	34909
10	366	32972
11	380	31297
12	392	29813
13	407	28711
14	426	28037
15	441	27150
16	457	26452
17	468	25555
18	482	24930
19	500	24507
20	515	24038
21	532	23668
22	542	23040
23	553	22496
24	563	21967
25	571	21424
26	578	20861
27	587	20380
28	594	19914
29	602	19476
30	610	19068
31	618	18704
32	625	18338
33	633	18012
34	641	17689
35	651	17434
36	663	17270
37	671	16987
38	679	16750
39	687	16511
40	696	16289
41	705	16085
42	713	15882
43	723	15710
44	731	15520
45	739	15343
46	747	15162
47	755	14986
48	762	14807
49	770	14637
50	778	14477
51	786	14341
52	794	14200
53	803	14067
54	811	13942
55	819	13808
56	826	13667
57	834	13547
58	841	13425
59	849	13311
60	857	13198
61	869	13153
62	878	13060
63	886	12969
64	895	12888
65	903	12783
66	910	12685
67	918	12594
68	926	12506
69	935	12430
70	944	12359
71	954	12302
72	965	12255
73	973	12186
74	982	12121
75	992	12069
76	1002	12021
77	1012	11969
78	1021	11908
79	1029	11837
80	1038	11785
81	1049	11752
82	1073	11859
83	1096	11959
84	1109	11946
85	1121	11916
86	1131	11869
87	1142	11840
88	1155	11827
89	1178	11915
90	1198	11968
91	1220	12043
92	1241	12110
93	1259	12142
94	1284	12235
95	1304	12286
96	1326	12348
97	1353	12453
98	1375	12514
99	1393	12545
100	1413	12579
101	1431	12601
102	1450	12628
103	1461	12594
104	1473	12558
105	1482	12504
106	1491	12444
107	1498	12379
108	1508	12326
109	1518	12285
110	1528	12240
111	1536	12182
112	1544	12122
113	1553	12072
114	1562	12022
115	1571	11976
116	1581	11937
117	1590	11886
118	1598	11835
119	1606	11783
120	1615	11735
121	1624	11687
122	1632	11643
123	1641	11595
124	1650	11552
125	1658	11505
126	1666	11458
127	1675	11414
128	1684	11371
129	1694	11339
130	1704	11310
131	1718	11303
132	1729	11276
133	1740	11246
134	1751	11220
135	1761	11187
136	1770	11154
137	1783	11138
138	1804	11175
139	1823	11203
140	1841	11220
141	1863	11260
142	1883	11287
143	1898	11284
144	1915	11297
145	1936	11327
146	1953	11336
147	1972	11354
148	1994	11393
149	2051	11627
150	2094	11777
151	2111	11779
152	2122	11747
153	2131	11710
154	2142	11678
155	2154	11656
156	2164	11622
157	2174	11587
158	2182	11545
159	2191	11504
160	2199	11464
161	2208	11426
162	2217	11389
163	2226	11350
164	2235	11315
165	2244	11276
166	2253	11238
167	2263	11208
168	2272	11172
169	2280	11134
170	2288	11094
171	2298	11062
172	2307	11029
173	2316	10995
174	2325	10965
175	2334	10928
176	2343	10896
177	2352	10865
178	2365	10850
179	2380	10842
180	2388	10809
181	2397	10774
182	2406	10742
183	2414	10709
184	2423	10677
185	2432	10646
186	2441	10615
187	2450	10585
188	2460	10557
189	2469	10526
190	2477	10493
191	2487	10466
192	2495	10435
193	2504	10403
194	2512	10373
195	2521	10342
196	2529	10312
197	2538	10281
198	2547	10252
199	2555	10222
200	2566	10201
201	2577	10184
202	2586	10156
203	2595	10127
204	2604	10099
205	2612	10070
206	2621	10042
207	2630	10015
208	2638	9986
209	2647	9959
210	2655	9931
211	2665	9908
212	2675	9885
213	2685	9862
214	2694	9837
215	2703	9812
216	2713	9789
217	2721	9764
218	2730	9738
219	2739	9713
220	2748	9687
221	2756	9661
222	2767	9642
223	2776	9620
224	2788	9605
225	2797	9581
226	2806	9557
227	2814	9531
228	2823	9505
229	2831	9479
230	2841	9458
231	2849	9432
232	2857	9407
233	2866	9383
234	2876	9362
235	2884	9338
236	2893	9314
237	2901	9289
238	2910	9266
239	2918	9241
240	2926	9217
241	2934	9192
242	2943	9169
243	2951	9144
244	2959	9120
245	2967	9096
246	2979	9081
247	2987	9060
248	2999	9046
249	3009	9027
250	3018	9007
251	3026	8983
252	3035	8962
253	3044	8942
254	3053	8920
255	3062	8899
256	3071	8879
257	3080	8860
258	3089	8839
259	3097	8817
260	3107	8797
261	3115	8775
262	3123	8753
263	3132	8732
264	3140	8711
265	3149	8691
266	3157	8669
267	3166	8647
268	3174	8627
269	3183	8607
270	3192	8587
271	3200	8566
272	3210	8549
273	3221	8536
274	3231	8518
275	3240	8500
276	3249	8481
277	3258	8461
278	3267	8444
279	3276	8424
280	3285	8407
281	3294	8388
282	3303	8368
283	3311	8349
284	3320	8329
285	3328	8309
286	3336	8289
287	3345	8271
288	3354	8252
289	3363	8235
290	3372	8217
291	3383	8202
292	3391	8183
293	3400	8164
294	3408	8146
295	3417	8128
296	3428	8116
297	3438	8099
298	3447	8083
299	3456	8064
300	3464	8045
301	3472	8026
302	3481	8009
303	3490	7992
304	3499	7973
305	3507	7955
306	3516	7937
307	3524	7919
308	3533	7900
309	3541	7882
310	3549	7864
311	3558	7846
312	3566	7829
313	3575	7811
314	3583	7793
315	3592	7776
316	3600	7758
317	3608	7739
318	3617	7723
319	3626	7705
320	3634	7688
321	3646	7677
322	3656	7663
323	3665	7647
324	3674	7632
325	3685	7619
326	3694	7604
327	3703	7588
328	3712	7571
329	3720	7554
330	3729	7538
331	3738	7522
332	3747	7507
333	3756	7490
334	3766	7477
335	3774	7460
336	3783	7443
337	3792	7427
338	3800	7410
339	3809	7394
340	3818	7379
341	3827	7364
342	3837	7351
343	3849	7340
344	3857	7324
345	3866	7308
346	3875	7293
347	3885	7279
348	3896	7267
349	3906	7254
350	3915	7238
351	3924	7223
352	3932	7207
353	3940	7190
354	3949	7175
355	3957	7159
356	3966	7143
357	3975	7128
358	3983	7112
359	3991	7096
360	4000	7081
361	4008	7065
362	4017	7050
363	4025	7033
364	4035	7020
365	4047	7011
366	4058	7000
367	4070	6990
368	4081	6979
369	4090	6964
370	4099	6951
371	4108	6935
372	4116	6919
